Gene	Treatment A label (can include Latex, e.g. (humble $\pi)^{\tau\rho y}$)
A1BG	-10
A1CF	-9
A2M	-8
A2ML1	-7
A3GALT2	-6
A4GALT	-5
A4GNT	-4
AAAS	-3
AACS	-2
AADAC	-1
AADACL2	0
AADACL3	1
AADACL4	2
AADAT	3
AAED1	4
AAGAB	5
AAK1	6
AAMDC	7
AAMP	8
AANAT	9
AAR2	10
AARD	11
AARS	1.82
AARS2	-9.67
AARSD1	1.72
AASDH	9.42
AASDHPPT	-2.76
AASS	-4.71
AATF	-4.92
AATK	-5.98
ABAT	8.11
ABCA1	2.2
ABCA10	1.32
ABCA12	1.64
ABCA13	-8.06
ABCA2	-6
ABCA3	1.95
ABCA4	4.12
ABCA5	-3.63
ABCA6	7.54
ABCA7	6.89
ABCA8	-4.92
ABCA9	-2.81
ABCB1	0.45
ABCB10	1.83
ABCB11	3.1
ABCB4	-6.06
ABCB5	-9.95
ABCB6	9.01
ABCB7	6.99
ABCB8	-1.22
ABCB9	-6.31
ABCC1	-7.31
ABCC10	-6.69
ABCC11	-9.85
ABCC12	2.52
ABCC2	9.02
ABCC3	0.44
ABCC4	-7.12
ABCC5	-0.85
ABCC6	2.84
ABCC8	7.8
ABCC9	-1.19
ABCD1	3
ABCD2	-7.26
ABCD3	0.79
ABCD4	-6.94
ABCE1	7.82
ABCF1	6.48
ABCF2	-6.71
ABCF3	2.08
ABCG1	5.83
ABCG2	9.12
ABCG4	-1.83
ABCG5	7.3
ABCG8	-9.84
ABHD1	-8.41
ABHD10	-5.01
ABHD11	-8.87
ABHD12	2.46
ABHD12B	-9.06
ABHD13	-7.46
ABHD14A	1.31
ABHD14B	-0.53
ABHD15	-4.07
ABHD16A	6.3
ABHD16B	-9.61
ABHD17A	4.14
ABHD17B	-6.7
ABHD17C	4.43
ABHD2	-0.07
ABHD3	5.5
ABHD4	0.29
ABHD5	-7.43
ABHD6	-1.13
ABHD8	-9.73
ABI1	5.18
ABI2	3.1
ABI3	1.47
ABI3BP	-9.84
ABL1	8.78
ABL2	0.11
ABLIM1	-7.77
ABLIM2	0.36
ABLIM3	6.08
ABO	7.52
ABR	9.47
ABRA	2.59
ABRACL	-2.07
ABT1	-5.12
ABTB1	5.78
ABTB2	1.47
ACAA1	7.71
ACAA2	-8.02
ACACA	9.73
ACACB	9.91
ACAD10	-9.39
ACAD11	5.71
ACAD8	-2.4
ACAD9	3.3
ACADL	5.31
ACADM	-6.41
ACADS	0.15
ACADSB	7.55
ACADVL	9.06
ACAN	-4.86
ACAP1	9.36
ACAP2	0.44
ACAP3	4.18
ACAT1	6.39
ACAT2	7.14
ACBD3	-8.66
ACBD4	-2.24
ACBD5	-0.6
ACBD6	7.09
ACBD7	1.49
ACCS	-6.03
ACCSL	5.35
ACD	0.83
ACE	-6.33
ACE2	5.66
ACER1	-2.9
ACER2	1.57
ACER3	1.14
ACHE	-6.56
ACIN1	-7.65
ACKR2	-3.45
ACKR3	-6.09
ACKR4	-2.24
ACLY	-0.6
ACMSD	1.36
ACN9	-4.18
ACO1	0.78
ACO2	-2.47
ACOT1	-0.35
ACOT11	-5.21
ACOT12	3.45
ACOT13	3.16
ACOT2	-7
ACOT4	6.16
ACOT6	-8.89
ACOT7	-1.58
ACOT8	-0.8
ACOT9	1.39
ACOX1	1.17
ACOX2	4.87
ACOX3	7.74
ACOXL	8.64
ACP1	0.2
ACP2	9.61
ACP5	0.83
ACP6	2.15
ACPL2	5.93
ACPP	7.17
ACPT	7.51
ACR	-7.81
ACRBP	-7.34
ACRC	3.78
ACRV1	-5.57
ACSBG1	-6.79
ACSBG2	-6.62
ACSF2	5.51
ACSF3	-5.09
ACSL1	-7.86
ACSL3	8.85
ACSL4	-1.32
ACSL5	-2.87
ACSL6	-8.97
ACSM1	-1.76
ACSM2A	5.9
ACSM2B	8.55
ACSM3	6.48
ACSM4	-4.06
ACSM5	3.74
ACSS1	6.01
ACSS2	-2.4
ACSS3	-8.74
ACTA1	-3.08
ACTA2	9.46
ACTB	-9.98
ACTBL2	3.73
ACTC1	-1.42
ACTG1	5.63
ACTG2	-4.15
ACTL10	-3.89
ACTL6A	2.73
ACTL6B	-6.12
ACTL7A	3.88
ACTL7B	7.41
ACTL8	7.53
ACTL9	2.06
ACTN1	1.5
ACTN2	-4.27
ACTN3	8.48
ACTN4	4.84
ACTR10	-7.84
ACTR1A	8.7
ACTR1B	-1.65
ACTR2	-6.85
ACTR3	0.97
ACTR3B	-9.71
ACTR3C	7.71
ACTR5	3.13
ACTR6	-4.22
ACTR8	3.17
ACTRT1	4.17
ACTRT2	3.64
ACTRT3	1.47
ACVR1	7.41
ACVR1B	2.18
ACVR1C	-2.05
ACVR2A	2.26
ACVR2B	-1.75
ACVRL1	6.57
ACY1	-9.76
ACY3	1.9
ACYP1	-9.67
ACYP2	-7.59
ADA	0.96
ADAD1	-8.1
ADAD2	1.09
ADAL	-7.23
ADAM10	6.27
ADAM11	7.05
ADAM12	-0.51
ADAM15	5.7
ADAM17	3.14
ADAM18	8.09
ADAM19	8.43
ADAM2	-2.99
ADAM20	-7.78
ADAM21	-0.88
ADAM22	3.13
ADAM23	-2.98
ADAM28	-5.92
ADAM29	5.17
ADAM30	-8.6
ADAM32	2.73
