Gene	Treatment B label
A1BG	10
A1CF	9
A2M	8
A2ML1	7
A3GALT2	6
A4GALT	5
A4GNT	4
AAAS	3
AACS	2
AADAC	1
AADACL2	0
AADACL3	-1
AADACL4	-2
AADAT	-3
AAED1	-4
AAGAB	-5
AAK1	-6
AAMDC	-7
AAMP	-8
AANAT	-9
AAR2	-10
AARD	-11
AARS	-9.98
AARS2	-9.86
AARSD1	5.01
AASDH	0.85
AASDHPPT	5.53
AASS	-0.32
AATF	-8.45
AATK	-1.41
ABAT	5
ABCA1	-0.84
ABCA10	3.17
ABCA12	8.14
ABCA13	-0.78
ABCA2	0.07
ABCA3	-5.15
ABCA4	8.65
ABCA5	-8.84
ABCA6	6.8
ABCA7	-2.37
ABCA8	-0.28
ABCA9	-8.28
ABCB1	-5.03
ABCB10	-1.94
ABCB11	-1.99
ABCB4	-2
ABCB5	6.31
ABCB6	-1.11
ABCB7	-7.63
ABCB8	0.01
ABCB9	4.76
ABCC1	3.7
ABCC10	-3.33
ABCC11	-0.52
ABCC12	-5.17
ABCC2	3.31
ABCC3	-5.07
ABCC4	6.54
ABCC5	-5.55
ABCC6	-9.51
ABCC8	-9.25
ABCC9	-6.14
ABCD1	8.42
ABCD2	-9.09
ABCD3	4.44
ABCD4	4.63
ABCE1	-7.94
ABCF1	-4.43
ABCF2	-3.64
ABCF3	-5.55
ABCG1	4.01
ABCG2	-3.18
ABCG4	-1.21
ABCG5	-6.96
ABCG8	8.56
ABHD1	7.2
ABHD10	5.13
ABHD11	-3.65
ABHD12	5.42
ABHD12B	1.28
ABHD13	-8.02
ABHD14A	6.75
ABHD14B	1.01
ABHD15	1.95
ABHD16A	-8.44
ABHD16B	9.25
ABHD17A	-1.35
ABHD17B	-8.08
ABHD17C	-5.36
ABHD2	2.6
ABHD3	5.64
ABHD4	2.8
ABHD5	7.54
ABHD6	7.77
ABHD8	5.21
ABI1	-6.63
ABI2	-9.16
ABI3	-7.45
ABI3BP	1.8
ABL1	-2.85
ABL2	4.09
ABLIM1	8.53
ABLIM2	1.2
ABLIM3	-9.72
ABO	8.89
ABR	2.37
ABRA	-8.51
ABRACL	-3
ABT1	3.86
ABTB1	6.49
ABTB2	3.66
ACAA1	-6.54
ACAA2	4.46
ACACA	-5.86
ACACB	0.27
ACAD10	9.45
ACAD11	8.16
ACAD8	9.53
ACAD9	9.01
ACADL	0.86
ACADM	2.04
ACADS	7.47
ACADSB	0.91
ACADVL	9.69
ACAN	2.28
ACAP1	2.98
ACAP2	-8.82
ACAP3	1.91
ACAT1	9.91
ACAT2	-5.77
ACBD3	-2.83
ACBD4	2.14
ACBD5	-8.74
ACBD6	-3.55
ACBD7	2.34
ACCS	5.31
ACCSL	7.92
ACD	3.06
ACE	7.86
ACE2	-2.15
ACER1	0.66
ACER2	0.85
ACER3	-8.89
ACHE	9.29
ACIN1	3.66
ACKR2	-1.97
ACKR3	8.36
ACKR4	4.5
ACLY	1.32
ACMSD	8.42
ACN9	4.58
ACO1	1.96
ACO2	2.77
ACOT1	9.91
ACOT11	-2.9
ACOT12	6.75
ACOT13	8.94
ACOT2	-6.68
ACOT4	5.13
ACOT6	2.37
ACOT7	4.2
ACOT8	-4.89
ACOT9	4.37
ACOX1	9.32
ACOX2	-7.53
ACOX3	2.8
ACOXL	4.32
ACP1	9.08
ACP2	-4.93
ACP5	-1.56
ACP6	8.64
ACPL2	1.02
ACPP	-5.55
ACPT	0.49
ACR	-7.47
ACRBP	3.37
ACRC	-2.73
ACRV1	7.15
ACSBG1	1.34
ACSBG2	1.62
ACSF2	-4.64
ACSF3	0.16
ACSL1	7.16
ACSL3	-8.16
ACSL4	-7.83
ACSL5	-4.09
ACSL6	-6.87
ACSM1	-9.64
ACSM2A	-9.68
ACSM2B	-2.17
ACSM3	-7.35
ACSM4	8.08
ACSM5	7.02
ACSS1	1.67
ACSS2	4.4
ACSS3	-9.87
ACTA1	-8.87
ACTA2	-7.94
ACTB	-9.24
ACTBL2	-8.66
ACTC1	-0.04
ACTG1	-9.48
ACTG2	-5.09
ACTL10	6.71
ACTL6A	-4.94
ACTL6B	-4.52
ACTL7A	-3.87
ACTL7B	8.47
ACTL8	-3.05
ACTL9	-5.78
ACTN1	1.21
ACTN2	-0.69
ACTN3	-0.53
ACTN4	-7.77
ACTR10	6.89
ACTR1A	-2.14
ACTR1B	-8.8
ACTR2	-8.84
ACTR3	-9.02
ACTR3B	2.74
ACTR3C	-0.61
ACTR5	4.91
ACTR6	4.51
ACTR8	4.83
ACTRT1	6.64
ACTRT2	4.2
ACTRT3	-0.74
ACVR1	-7.16
ACVR1B	2.75
ACVR1C	-4.87
ACVR2A	8.24
ACVR2B	-7.92
ACVRL1	4.03
ACY1	2.75
ACY3	3.19
ACYP1	2.98
ACYP2	1.27
ADA	0.21
ADAD1	2.85
ADAD2	-7.68
ADAL	0.5
ADAM10	6.47
ADAM11	6.12
ADAM12	0.9
ADAM15	7.64
ADAM17	-6.11
ADAM18	-7.95
ADAM19	4.58
ADAM2	-0.96
ADAM20	8.64
ADAM21	-5.64
ADAM22	7.23
ADAM23	-6.51
ADAM28	-1.37
ADAM29	-2.12
ADAM30	9.97
ADAM32	4.55
ADAM33	-9.21
ADAM7	-5.28
ADAM8	6.36
